Event, Details, Time(s)
 Start, 15/06/2025 15:07:28, 0.2205566 
 Cashout, Response Time: 0.2166748, Response: {"status":"ok","data":{"wallet":18019.14,"playLevel":200,"bonus":550,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":5,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:44:57.115Z","id":"684b58692b2345000ebc9e62"}}, 425.7121 
 Cashout, Response Time: 0.2166748, Response: {"status":"ok","data":{"wallet":13844.345833972984,"playLevel":200,"bonus":550,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":4,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:13.499Z","id":"684b565d95dd5c0010284e41"}}, 432.1453 

 PlaceBet, Response Time: 0.1999817, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1256113277","betType":"single","playerId":"8","roundId":"17500016602644638","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:34:58.999Z","id":"684ee8228c9ef3000ec8aac0"}}, 439.3119 
 PlaceBet, Response Time: 0.1999817, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":100,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3099129461","betType":"single","playerId":"1","roundId":"17500016602644638","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:34:59.957Z","id":"684ee823f95d33000d42348e"}}, 440.2785 
 PlaceBet, Response Time: 0.2833557, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3346175959","betType":"single","playerId":"5","roundId":"17500016602644638","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:35:00.063Z","id":"684ee824f97b90000ef73b4a"}}, 440.3785 
 PlaceBet, Response Time: 0.2000427, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"6732458618","betType":"single","playerId":"6","roundId":"17500016602644638","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:35:00.639Z","id":"684ee824a10c8e00207fc51a"}}, 440.9619 
 PlaceBet, Response Time: 0.1833191, Response: {"status":"error"}, 441.3785 
 PlaceBet Status Not OK, response: {"status":"error"}, 441.3785 
 PlaceBet, Response Time: 0.2000122, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"4237283344","betType":"single","playerId":"2","roundId":"17500016602644638","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:35:01.629Z","id":"684ee8252277eb000fd950fe"}}, 441.9452 
 PlaceBet, Response Time: 0.2000122, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":2000,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"2539582587","betType":"single","playerId":"3","roundId":"17500016602644638","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:35:01.906Z","id":"684ee825100b700011013578"}}, 442.2285 
 PlaceBet, Response Time: 0.2166443, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1131203128","betType":"single","playerId":"4","roundId":"17500016602644638","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:35:02.417Z","id":"684ee826b48c53000f6583a4"}}, 442.7451 
 Cashout, Response Time: 0.1999817, Response: {"status":"ok","data":{"wallet":6796.136878601021,"playLevel":200,"bonus":0,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":2,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:11.709Z","id":"684b565bb84283001eb2f607"}}, 445.7618 
 Cashout, Response Time: 0.1999817, Response: {"status":"ok","data":{"wallet":13906.345833972984,"playLevel":200,"bonus":550,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":4,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:13.499Z","id":"684b565d95dd5c0010284e41"}}, 446.5451 
 Cashout, Response Time: 0.1999817, Response: {"status":"ok","data":{"wallet":2590.7810041236908,"playLevel":200,"bonus":220,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":6,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T23:30:27.989Z","id":"684b631395d4370025954bb2"}}, 447.1118 
 Cashout, Response Time: 0.1999817, Response: {"status":"ok","data":{"wallet":10294.438,"playLevel":100,"bonus":550,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":1,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:11.225Z","id":"684b565bb84283001eb2f601"}}, 448.6117 
 Cashout, Response Time: 0.1999817, Response: {"status":"ok","data":{"wallet":6454.033,"playLevel":200,"bonus":385,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":8,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-14T18:59:47.269Z","id":"684dc6a3d4760e0022946e80"}}, 453.545 
 Cashout, Response Time: 0.2000122, Response: {"status":"ok","data":{"wallet":19743.14,"playLevel":200,"bonus":550,"freebet":true,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":5,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:44:57.115Z","id":"684b58692b2345000ebc9e62"}}, 462.4782 
 Cashout, Response Time: 0.2000122, Response: {"status":"ok","data":{"wallet":97345.00308431621,"playLevel":2000,"bonus":4950,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":3,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:12.323Z","id":"684b565c7295ed0011e61527"}}, 468.1448 

 drop-jackpot, {"playerId":3,"jackpotAmount":1000,"jackpotType":"Silver"}, 480.4279 
 DropJackpot Successfull, Jackpot sent to Player: 3, 480.4279 
 drop-jackpot, {"playerId":1,"jackpotAmount":1000,"jackpotType":"Bronze"}, 480.7946 
 DropJackpot Successfull, Jackpot sent to Player: 1, 480.8112 
 PlaceBet, Response Time: 0.1999817, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":2000,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"8276222985","betType":"single","playerId":"3","roundId":"17500016705986122","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:35:43.365Z","id":"684ee84f7059350010ec2691"}}, 483.6779 
 PlaceBet, Response Time: 0.3999939, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5930243294","betType":"single","playerId":"4","roundId":"17500016705986122","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:35:43.564Z","id":"684ee84fcc590f001b525fb3"}}, 483.8779 
 PlaceBet, Response Time: 0.2166443, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"9611890797","betType":"single","playerId":"8","roundId":"17500016705986122","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:35:43.939Z","id":"684ee84fa10c8e00207fc535"}}, 484.2612 
 PlaceBet, Response Time: 0.2167053, Response: {"status":"ok","data":{"freebet":true,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":30.1,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1006134929","betType":"single","playerId":"5","roundId":"17500016705986122","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:35:44.225Z","id":"684ee85075bf000019915a91"}}, 484.5445 
 PlaceBet, Response Time: 0.2166443, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":100,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"4616063642","betType":"single","playerId":"1","roundId":"17500016705986122","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:35:44.817Z","id":"684ee85016a9560010db7157"}}, 485.1445 
 PlaceBet, Response Time: 0.25, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"7978609198","betType":"single","playerId":"2","roundId":"17500016705986122","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:35:44.947Z","id":"684ee850100b700011013598"}}, 485.2612 
 PlaceBet, Response Time: 0.2833557, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3229564874","betType":"single","playerId":"6","roundId":"17500016705986122","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:35:45.143Z","id":"684ee851a445b30010712052"}}, 485.4612 
 PlaceBet, Response Time: 0.1833191, Response: {"status":"error"}, 486.0111 
 PlaceBet Status Not OK, response: {"status":"error"}, 486.0111 
 Cashout, Response Time: 0.2000122, Response: {"status":"ok","data":{"wallet":14026.345833972984,"playLevel":200,"bonus":550,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":4,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:13.499Z","id":"684b565d95dd5c0010284e41"}}, 492.761 

